,Sector,PointEntryExit,TransMode,Direction,Hour,Estimated_Commuters
0,60thSt,10thAveAmsterdamAve,AutoOccupants,Out,0,693
1,60thSt,10thAveAmsterdamAve,AutoOccupants,Out,1,432
2,60thSt,10thAveAmsterdamAve,AutoOccupants,Out,2,308
3,60thSt,10thAveAmsterdamAve,AutoOccupants,Out,3,319
4,60thSt,10thAveAmsterdamAve,AutoOccupants,Out,4,350
5,60thSt,10thAveAmsterdamAve,AutoOccupants,Out,5,671
6,60thSt,10thAveAmsterdamAve,AutoOccupants,Out,6,888
7,60thSt,10thAveAmsterdamAve,AutoOccupants,Out,7,1210
8,60thSt,10thAveAmsterdamAve,AutoOccupants,Out,8,1104
9,60thSt,10thAveAmsterdamAve,AutoOccupants,Out,9,1115
10,60thSt,10thAveAmsterdamAve,AutoOccupants,Out,10,1177
11,60thSt,10thAveAmsterdamAve,AutoOccupants,Out,11,1235
12,60thSt,10thAveAmsterdamAve,AutoOccupants,Out,12,1140
13,60thSt,10thAveAmsterdamAve,AutoOccupants,Out,13,1283
14,60thSt,10thAveAmsterdamAve,AutoOccupants,Out,14,1363
15,60thSt,10thAveAmsterdamAve,AutoOccupants,Out,15,1440
16,60thSt,10thAveAmsterdamAve,AutoOccupants,Out,16,1601
17,60thSt,10thAveAmsterdamAve,AutoOccupants,Out,17,1659
18,60thSt,10thAveAmsterdamAve,AutoOccupants,Out,18,1683
19,60thSt,10thAveAmsterdamAve,AutoOccupants,Out,19,1546
20,60thSt,10thAveAmsterdamAve,AutoOccupants,Out,20,1251
21,60thSt,10thAveAmsterdamAve,AutoOccupants,Out,21,1148
22,60thSt,10thAveAmsterdamAve,AutoOccupants,Out,22,1228
23,60thSt,10thAveAmsterdamAve,AutoOccupants,Out,23,997
24,60thSt,10thAveAmsterdamAve,Autos,Out,0,525
25,60thSt,10thAveAmsterdamAve,Autos,Out,1,327
26,60thSt,10thAveAmsterdamAve,Autos,Out,2,233
27,60thSt,10thAveAmsterdamAve,Autos,Out,3,242
28,60thSt,10thAveAmsterdamAve,Autos,Out,4,265
29,60thSt,10thAveAmsterdamAve,Autos,Out,5,508
30,60thSt,10thAveAmsterdamAve,Autos,Out,6,777
31,60thSt,10thAveAmsterdamAve,Autos,Out,7,1013
32,60thSt,10thAveAmsterdamAve,Autos,Out,8,957
33,60thSt,10thAveAmsterdamAve,Autos,Out,9,935
34,60thSt,10thAveAmsterdamAve,Autos,Out,10,943
35,60thSt,10thAveAmsterdamAve,Autos,Out,11,954
36,60thSt,10thAveAmsterdamAve,Autos,Out,12,893
37,60thSt,10thAveAmsterdamAve,Autos,Out,13,943
38,60thSt,10thAveAmsterdamAve,Autos,Out,14,988
39,60thSt,10thAveAmsterdamAve,Autos,Out,15,1037
40,60thSt,10thAveAmsterdamAve,Autos,Out,16,1146
41,60thSt,10thAveAmsterdamAve,Autos,Out,17,1157
42,60thSt,10thAveAmsterdamAve,Autos,Out,18,1140
43,60thSt,10thAveAmsterdamAve,Autos,Out,19,1052
44,60thSt,10thAveAmsterdamAve,Autos,Out,20,948
45,60thSt,10thAveAmsterdamAve,Autos,Out,21,870
46,60thSt,10thAveAmsterdamAve,Autos,Out,22,930
47,60thSt,10thAveAmsterdamAve,Autos,Out,23,755
48,60thSt,10thAveAmsterdamAve,Bicycle,In,0,0
49,60thSt,10thAveAmsterdamAve,Bicycle,In,1,0
50,60thSt,10thAveAmsterdamAve,Bicycle,In,2,0
51,60thSt,10thAveAmsterdamAve,Bicycle,In,3,0
52,60thSt,10thAveAmsterdamAve,Bicycle,In,4,0
53,60thSt,10thAveAmsterdamAve,Bicycle,In,5,0
54,60thSt,10thAveAmsterdamAve,Bicycle,In,6,8
55,60thSt,10thAveAmsterdamAve,Bicycle,In,7,4
56,60thSt,10thAveAmsterdamAve,Bicycle,In,8,4
57,60thSt,10thAveAmsterdamAve,Bicycle,In,9,5
58,60thSt,10thAveAmsterdamAve,Bicycle,In,10,10
59,60thSt,10thAveAmsterdamAve,Bicycle,In,11,9
