,YEAR,TransMode,Hour,Race_AmerIndianAlaskan,Race_BlackAA,Race_Chinese,Race_Japanese,Race_OtherAsianPacIsl,Race_OtherRace,Race_ThreePlusRaces,Race_TwoRaces,Race_White
0,2017,AutoOccupants,0,0.0,225.0,0.0,0.0,79.0,109.0,0.0,0.0,743.0
1,2017,AutoOccupants,1,0.0,59.0,0.0,0.0,120.0,0.0,0.0,0.0,209.0
2,2017,AutoOccupants,2,0.0,1017.0,0.0,0.0,84.0,172.0,0.0,82.0,1125.0
3,2017,AutoOccupants,3,0.0,778.0,0.0,0.0,65.0,192.0,0.0,143.0,1949.0
4,2017,AutoOccupants,4,0.0,224.0,169.0,0.0,729.0,654.0,0.0,418.0,2410.0
5,2017,AutoOccupants,5,0.0,2751.0,386.0,0.0,1003.0,3881.0,0.0,395.0,9597.0
6,2017,AutoOccupants,6,0.0,8283.0,755.0,0.0,3327.0,4502.0,289.0,1500.0,26738.0
7,2017,AutoOccupants,7,97.0,13717.0,1611.0,0.0,5348.0,7190.0,140.0,1535.0,40860.0
8,2017,AutoOccupants,8,191.0,10856.0,4543.0,320.0,6420.0,5016.0,0.0,805.0,41625.0
9,2017,AutoOccupants,9,56.0,7221.0,2590.0,0.0,3770.0,2986.0,0.0,954.0,29079.0
10,2017,AutoOccupants,10,0.0,3413.0,801.0,0.0,1724.0,1316.0,0.0,454.0,12940.0
11,2017,AutoOccupants,11,0.0,1300.0,532.0,69.0,562.0,0.0,0.0,279.0,4657.0
12,2017,AutoOccupants,12,0.0,690.0,340.0,0.0,856.0,490.0,0.0,70.0,3144.0
13,2017,AutoOccupants,13,0.0,1757.0,0.0,0.0,387.0,230.0,0.0,98.0,2639.0
14,2017,AutoOccupants,14,0.0,1207.0,329.0,0.0,156.0,1466.0,0.0,0.0,2193.0
15,2017,AutoOccupants,15,0.0,1609.0,237.0,0.0,844.0,491.0,0.0,71.0,2209.0
16,2017,AutoOccupants,16,76.0,1281.0,0.0,0.0,541.0,673.0,0.0,0.0,2438.0
17,2017,AutoOccupants,17,0.0,1128.0,382.0,0.0,565.0,864.0,0.0,0.0,1476.0
18,2017,AutoOccupants,18,0.0,586.0,307.0,0.0,1068.0,63.0,97.0,231.0,1697.0
19,2017,AutoOccupants,19,0.0,970.0,0.0,0.0,932.0,430.0,0.0,0.0,1225.0
20,2017,AutoOccupants,20,0.0,357.0,0.0,0.0,258.0,213.0,0.0,0.0,652.0
21,2017,AutoOccupants,21,0.0,656.0,0.0,0.0,526.0,439.0,0.0,0.0,836.0
22,2017,AutoOccupants,22,0.0,1852.0,634.0,0.0,149.0,381.0,0.0,335.0,1593.0
23,2017,AutoOccupants,23,0.0,1310.0,0.0,0.0,237.0,1386.0,0.0,47.0,1741.0
24,2017,Bicycle,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818.0
25,2017,Bicycle,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0
26,2017,Bicycle,6,0.0,329.0,60.0,0.0,0.0,88.0,0.0,0.0,1141.0
27,2017,Bicycle,7,0.0,79.0,0.0,0.0,106.0,117.0,0.0,241.0,2655.0
28,2017,Bicycle,8,0.0,294.0,476.0,0.0,734.0,326.0,0.0,0.0,7606.0
