,STATEFIP,PUMA,PUMA_NAME
0,1,100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties"
1,1,200,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)
2,1,301,Huntsville (North) & Madison (East) Cities
3,1,302,Huntsville City (Central & South)
4,1,400,DeKalb & Jackson Counties
5,1,500,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)
6,1,600,Morgan & Lawrence Counties--Decatur City
7,1,700,Cullman & Winston Counties
8,1,800,St. Clair & Blount Counties
9,1,900,Etowah County
10,1,1000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties"
11,1,1100,Calhoun County
12,1,1200,Shelby County
13,1,1301,Birmingham City (West)
14,1,1302,Birmingham City (East)
15,1,1303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities"
16,1,1304,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities"
17,1,1305,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities"
18,1,1400,"Walker, Marion (South & West), Fayette & Lamar Counties"
19,1,1500,Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West)
20,1,1600,Tuscaloosa & Northport (Southeast) Cities
21,1,1700,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties"
22,1,1800,"Chilton, Tallapoosa, Chambers & Coosa Counties"
23,1,1900,Lee County--Auburn City
24,1,2000,Montgomery City & Pike Road Town (North)
25,1,2100,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties"
26,1,2200,Southwest Alabama
27,1,2300,"Coffee, Covington, Butler & Crenshaw Counties"
28,1,2400,"Russell, Pike, Barbour, Macon & Bullock Counties"
29,1,2500,"Houston, Dale, Geneva & Henry Counties--Dothan City"
30,1,2600,Baldwin County
31,1,2701,Mobile City (East)
32,1,2702,Mobile City (West)
33,1,2703,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City"
34,2,101,Anchorage Municipality (North)
35,2,102,Anchorage Municipality (South)
36,2,200,Matanuska-Susitna & Kenai Peninsula Boroughs
37,2,300,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska"
38,2,400,Subsistence Alaska
39,4,100,Maricopa County--Gilbert (South) & Queen Creek Towns
40,4,101,Maricopa County--Mesa City (East)
41,4,102,Maricopa County--Mesa City (North Central)
42,4,103,Maricopa County--Mesa City (West)
43,4,104,Maricopa County--Mesa City (South Central)
44,4,105,Maricopa County--Gilbert Town (North)
45,4,106,Maricopa County--Chandler City (Northeast)
46,4,107,Maricopa County--Chandler City (South)
47,4,108,Maricopa County--Tempe (South) & Chandler (Northwest) Cities
48,4,109,Maricopa County--Tempe City (North)
49,4,110,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town
50,4,111,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town
51,4,112,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek"
52,4,113,Phoenix City (Northeast)
53,4,114,Phoenix City (Northeast Central)
54,4,115,Phoenix City (Northwest Central)
55,4,116,Phoenix City (Uptown)
56,4,117,Phoenix City (East)
57,4,118,Phoenix City--Downtown & Sky Harbor International Airport
58,4,119,Phoenix City (South)
59,4,120,Phoenix City--Ahwatukee & South Mountain
60,4,121,Phoenix (Southwest) & Tolleson Cities
61,4,122,Phoenix City--Maryvale (East)
62,4,123,Phoenix City--Maryvale (West)
63,4,124,Maricopa County--Glendale City (South)
64,4,125,Phoenix City (West)
65,4,126,Maricopa County--Glendale City (North)
66,4,127,Maricopa County--Peoria City (South & Central)
67,4,128,Phoenix City (North)
68,4,129,Phoenix (Far North) & Peoria (Northwest) Cities
69,4,130,Maricopa County--El Mirage City & Sun City
70,4,131,Maricopa County--Surprise City (Central)
71,4,132,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities"
72,4,133,Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities
73,4,134,Maricopa County (West) & Gila River Indian Community (Northwest)
74,4,201,Pima County (West)
75,4,202,Tucson (West) & Marana Cities
76,4,203,Pima County (North Central)--Oro Valley Town
77,4,204,Pima County (Northeast)
78,4,205,Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town
79,4,206,Tucson City (Northeast)
80,4,207,Tucson City (Northwest)
81,4,208,Tucson City (South)
82,4,209,Tucson City (Southeast)
83,4,300,Navajo & Apache Counties
84,4,400,Coconino County--Flagstaff City
85,4,500,Yavapai County
86,4,600,Mohave & La Paz Counties--Lake Havasu City
87,4,700,Yuma County--Yuma City
88,4,800,"Gila, Graham, Greenlee & Pinal (East) Counties"
89,4,803,Pinal County (North)--Apache Junction City
90,4,805,"Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities"
91,4,807,"Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities"
92,4,900,Cochise & Santa Cruz Counties--Sierra Vista City
