,YEAR,TransMode,Hour,0-20 Minutes,21-40 Minutes,41-60 Minutes,61-80 Minutes,>80 Minutes
0,2017,AutoOccupants,0,104.0,383.0,317.0,0.0,352.0
1,2017,AutoOccupants,1,0.0,120.0,0.0,0.0,268.0
2,2017,AutoOccupants,2,195.0,181.0,1584.0,230.0,290.0
3,2017,AutoOccupants,3,1021.0,806.0,758.0,486.0,56.0
4,2017,AutoOccupants,4,1037.0,1908.0,1596.0,0.0,63.0
5,2017,AutoOccupants,5,5050.0,5672.0,5768.0,784.0,739.0
6,2017,AutoOccupants,6,7013.0,14923.0,14690.0,2702.0,6066.0
7,2017,AutoOccupants,7,13741.0,19948.0,20638.0,6162.0,10009.0
8,2017,AutoOccupants,8,15268.0,17010.0,22131.0,5152.0,10215.0
9,2017,AutoOccupants,9,8698.0,12378.0,17298.0,2059.0,6223.0
10,2017,AutoOccupants,10,3819.0,3896.0,6156.0,1275.0,5502.0
11,2017,AutoOccupants,11,902.0,988.0,3916.0,111.0,1482.0
12,2017,AutoOccupants,12,1426.0,961.0,1754.0,379.0,1070.0
13,2017,AutoOccupants,13,859.0,537.0,2381.0,301.0,1033.0
14,2017,AutoOccupants,14,911.0,1197.0,1892.0,179.0,1172.0
15,2017,AutoOccupants,15,517.0,2155.0,1756.0,229.0,804.0
16,2017,AutoOccupants,16,1221.0,1085.0,2053.0,144.0,506.0
17,2017,AutoOccupants,17,663.0,1135.0,1319.0,0.0,1298.0
18,2017,AutoOccupants,18,257.0,1637.0,1497.0,78.0,580.0
19,2017,AutoOccupants,19,723.0,683.0,1152.0,57.0,942.0
20,2017,AutoOccupants,20,151.0,393.0,676.0,47.0,213.0
21,2017,AutoOccupants,21,945.0,914.0,327.0,0.0,271.0
22,2017,AutoOccupants,22,1765.0,1616.0,1009.0,94.0,460.0
23,2017,AutoOccupants,23,499.0,1352.0,2596.0,164.0,110.0
24,2017,Bicycle,4,0.0,513.0,305.0,0.0,0.0
25,2017,Bicycle,5,204.0,78.0,0.0,0.0,0.0
26,2017,Bicycle,6,461.0,452.0,705.0,0.0,0.0
