,YEAR,TransMode,Hour,HomeStatus_N/A,HomeStatus_Own,HomeStatus_Rent
0,2017,AutoOccupants,0,0.0,209.0,947.0
1,2017,AutoOccupants,1,0.0,179.0,209.0
2,2017,AutoOccupants,2,0.0,1346.0,1134.0
3,2017,AutoOccupants,3,0.0,1287.0,1840.0
4,2017,AutoOccupants,4,0.0,1957.0,2647.0
5,2017,AutoOccupants,5,0.0,6878.0,11135.0
6,2017,AutoOccupants,6,0.0,17442.0,27952.0
7,2017,AutoOccupants,7,35.0,27609.0,42854.0
8,2017,AutoOccupants,8,188.0,27735.0,41853.0
9,2017,AutoOccupants,9,390.0,19712.0,26554.0
10,2017,AutoOccupants,10,0.0,4433.0,16215.0
11,2017,AutoOccupants,11,0.0,2732.0,4667.0
12,2017,AutoOccupants,12,0.0,1976.0,3614.0
13,2017,AutoOccupants,13,45.0,1628.0,3438.0
14,2017,AutoOccupants,14,0.0,2383.0,2968.0
15,2017,AutoOccupants,15,0.0,2956.0,2505.0
16,2017,AutoOccupants,16,85.0,2502.0,2422.0
17,2017,AutoOccupants,17,81.0,2085.0,2249.0
18,2017,AutoOccupants,18,0.0,1537.0,2512.0
19,2017,AutoOccupants,19,0.0,2207.0,1350.0
20,2017,AutoOccupants,20,65.0,689.0,726.0
21,2017,AutoOccupants,21,0.0,1373.0,1084.0
22,2017,AutoOccupants,22,0.0,1977.0,2967.0
23,2017,AutoOccupants,23,0.0,3288.0,1433.0
24,2017,Bicycle,4,0.0,104.0,714.0
25,2017,Bicycle,5,0.0,171.0,111.0
26,2017,Bicycle,6,0.0,1106.0,512.0
27,2017,Bicycle,7,0.0,2461.0,737.0
28,2017,Bicycle,8,0.0,5784.0,3652.0
29,2017,Bicycle,9,0.0,5380.0,2185.0
30,2017,Bicycle,10,0.0,1648.0,323.0
31,2017,Bicycle,11,0.0,141.0,174.0
32,2017,Bicycle,12,0.0,437.0,52.0
33,2017,Bicycle,13,0.0,40.0,0.0
34,2017,Bicycle,14,0.0,253.0,164.0
35,2017,Bicycle,15,0.0,174.0,340.0
36,2017,Bicycle,16,0.0,113.0,0.0
37,2017,Bicycle,17,0.0,375.0,0.0
38,2017,Bicycle,18,0.0,398.0,91.0
39,2017,Bicycle,19,0.0,219.0,0.0
40,2017,Bicycle,20,0.0,91.0,0.0
41,2017,Bus,0,0.0,1153.0,268.0
42,2017,Bus,1,0.0,225.0,208.0
43,2017,Bus,2,0.0,980.0,130.0
44,2017,Bus,3,0.0,0.0,152.0
45,2017,Bus,4,0.0,1022.0,187.0
46,2017,Bus,5,0.0,1731.0,3150.0
47,2017,Bus,6,384.0,14852.0,13122.0
48,2017,Bus,7,0.0,27472.0,32896.0
49,2017,Bus,8,284.0,37454.0,51973.0
50,2017,Bus,9,92.0,25784.0,26906.0
51,2017,Bus,10,0.0,6499.0,8023.0
52,2017,Bus,11,0.0,1530.0,1741.0
53,2017,Bus,12,0.0,1982.0,1863.0
54,2017,Bus,13,0.0,1566.0,699.0
55,2017,Bus,14,138.0,2802.0,1070.0
56,2017,Bus,15,190.0,2912.0,1177.0
57,2017,Bus,16,0.0,1647.0,1024.0
58,2017,Bus,17,0.0,238.0,357.0
59,2017,Bus,18,0.0,198.0,1354.0
60,2017,Bus,19,0.0,642.0,593.0
61,2017,Bus,20,0.0,525.0,348.0
62,2017,Bus,21,0.0,300.0,64.0
63,2017,Bus,22,0.0,1108.0,366.0
64,2017,Bus,23,0.0,787.0,495.0
65,2017,CommuterRail,1,0.0,74.0,162.0
66,2017,CommuterRail,2,0.0,165.0,328.0
67,2017,CommuterRail,3,0.0,214.0,162.0
68,2017,CommuterRail,4,0.0,355.0,114.0
69,2017,CommuterRail,5,0.0,1542.0,3120.0
70,2017,CommuterRail,6,154.0,3492.0,19526.0
71,2017,CommuterRail,7,0.0,12410.0,54555.0
72,2017,CommuterRail,8,0.0,22183.0,103031.0
73,2017,CommuterRail,9,241.0,13208.0,52532.0
74,2017,CommuterRail,10,0.0,3709.0,9741.0
75,2017,CommuterRail,11,0.0,782.0,1800.0
76,2017,CommuterRail,12,0.0,821.0,386.0
77,2017,CommuterRail,13,96.0,213.0,822.0
78,2017,CommuterRail,14,0.0,663.0,616.0
79,2017,CommuterRail,15,0.0,1020.0,1218.0
80,2017,CommuterRail,16,0.0,318.0,1334.0
81,2017,CommuterRail,17,0.0,1113.0,293.0
82,2017,CommuterRail,18,0.0,240.0,1077.0
83,2017,CommuterRail,19,0.0,486.0,574.0
84,2017,CommuterRail,20,0.0,77.0,681.0
85,2017,CommuterRail,21,0.0,115.0,848.0
86,2017,CommuterRail,22,0.0,395.0,314.0
87,2017,CommuterRail,23,0.0,426.0,131.0
88,2017,Ferry,5,0.0,38.0,59.0
89,2017,Ferry,6,0.0,147.0,600.0
90,2017,Ferry,7,0.0,965.0,1754.0
91,2017,Ferry,8,0.0,4025.0,4210.0
92,2017,Ferry,9,0.0,2410.0,2950.0
93,2017,Ferry,10,0.0,192.0,244.0
94,2017,Ferry,11,0.0,0.0,57.0
95,2017,Ferry,15,0.0,0.0,135.0
