,YEAR,TransMode,Hour,income_decile_0,income_decile_1,income_decile_10,income_decile_2,income_decile_3,income_decile_4,income_decile_5,income_decile_6,income_decile_7,income_decile_8,income_decile_9
0,2017,AutoOccupants,0,0.0,0.0,0.0,182.0,438.0,61.0,457.0,0.0,0.0,0.0,18.0
1,2017,AutoOccupants,1,0.0,0.0,0.0,0.0,59.0,0.0,226.0,103.0,0.0,0.0,0.0
2,2017,AutoOccupants,2,0.0,173.0,99.0,683.0,117.0,101.0,594.0,290.0,0.0,206.0,217.0
3,2017,AutoOccupants,3,0.0,330.0,31.0,204.0,569.0,620.0,259.0,585.0,0.0,407.0,122.0
4,2017,AutoOccupants,4,0.0,211.0,403.0,1052.0,1053.0,118.0,384.0,243.0,277.0,511.0,352.0
5,2017,AutoOccupants,5,0.0,1775.0,679.0,1800.0,2073.0,2147.0,1740.0,1925.0,2454.0,2068.0,1352.0
6,2017,AutoOccupants,6,0.0,2993.0,3395.0,4322.0,5426.0,5412.0,4684.0,3954.0,5239.0,5652.0,4317.0
7,2017,AutoOccupants,7,0.0,4798.0,7741.0,5576.0,9850.0,6186.0,8186.0,9504.0,6782.0,7729.0,4146.0
8,2017,AutoOccupants,8,0.0,4947.0,9353.0,6142.0,8352.0,6730.0,5853.0,6810.0,7151.0,6676.0,7762.0
9,2017,AutoOccupants,9,0.0,2741.0,5779.0,4604.0,4618.0,4613.0,5599.0,4754.0,5139.0,5093.0,3716.0
10,2017,AutoOccupants,10,0.0,1430.0,2926.0,1384.0,3431.0,1520.0,1673.0,1328.0,1695.0,3022.0,2239.0
11,2017,AutoOccupants,11,0.0,631.0,839.0,764.0,464.0,395.0,885.0,275.0,583.0,1349.0,1214.0
12,2017,AutoOccupants,12,0.0,920.0,38.0,989.0,933.0,32.0,767.0,825.0,722.0,241.0,123.0
13,2017,AutoOccupants,13,0.0,59.0,152.0,607.0,759.0,518.0,924.0,243.0,712.0,927.0,210.0
14,2017,AutoOccupants,14,0.0,175.0,88.0,668.0,1407.0,575.0,666.0,1032.0,470.0,58.0,212.0
15,2017,AutoOccupants,15,0.0,617.0,0.0,686.0,498.0,743.0,452.0,494.0,571.0,1179.0,221.0
16,2017,AutoOccupants,16,0.0,735.0,0.0,637.0,1162.0,699.0,507.0,570.0,162.0,457.0,80.0
17,2017,AutoOccupants,17,0.0,651.0,0.0,1123.0,224.0,548.0,480.0,381.0,324.0,624.0,60.0
18,2017,AutoOccupants,18,0.0,323.0,156.0,776.0,238.0,319.0,304.0,175.0,959.0,632.0,167.0
19,2017,AutoOccupants,19,0.0,562.0,27.0,526.0,485.0,130.0,313.0,0.0,472.0,474.0,568.0
20,2017,AutoOccupants,20,0.0,184.0,0.0,65.0,130.0,0.0,171.0,186.0,175.0,145.0,424.0
21,2017,AutoOccupants,21,0.0,616.0,0.0,214.0,634.0,0.0,230.0,384.0,0.0,379.0,0.0
22,2017,AutoOccupants,22,0.0,428.0,0.0,335.0,57.0,970.0,385.0,1157.0,680.0,860.0,72.0
23,2017,AutoOccupants,23,0.0,376.0,0.0,359.0,377.0,1240.0,354.0,366.0,345.0,1304.0,0.0
24,2017,Bicycle,4,0.0,0.0,0.0,513.0,0.0,104.0,0.0,0.0,201.0,0.0,0.0
25,2017,Bicycle,5,0.0,0.0,0.0,171.0,0.0,33.0,0.0,0.0,78.0,0.0,0.0
26,2017,Bicycle,6,0.0,179.0,62.0,56.0,711.0,110.0,280.0,88.0,0.0,0.0,132.0
27,2017,Bicycle,7,0.0,96.0,68.0,0.0,507.0,0.0,749.0,726.0,314.0,440.0,298.0
28,2017,Bicycle,8,0.0,696.0,984.0,607.0,235.0,805.0,963.0,1047.0,1428.0,1715.0,956.0
29,2017,Bicycle,9,0.0,1073.0,798.0,0.0,533.0,296.0,388.0,895.0,503.0,1872.0,1207.0
30,2017,Bicycle,10,0.0,0.0,444.0,46.0,47.0,850.0,0.0,0.0,453.0,131.0,0.0
31,2017,Bicycle,11,0.0,141.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2017,Bicycle,12,0.0,175.0,0.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2017,Bicycle,13,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
34,2017,Bicycle,14,0.0,0.0,0.0,163.0,0.0,254.0,0.0,0.0,0.0,0.0,0.0
35,2017,Bicycle,15,0.0,184.0,100.0,0.0,0.0,110.0,0.0,64.0,0.0,56.0,0.0
36,2017,Bicycle,16,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2017,Bicycle,17,0.0,80.0,0.0,113.0,141.0,0.0,41.0,0.0,0.0,0.0,0.0
38,2017,Bicycle,18,0.0,152.0,37.0,0.0,0.0,121.0,54.0,0.0,0.0,125.0,0.0
39,2017,Bicycle,19,0.0,136.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2017,Bicycle,20,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0
41,2017,Bus,0,0.0,386.0,0.0,151.0,0.0,42.0,473.0,60.0,175.0,134.0,0.0
42,2017,Bus,1,0.0,0.0,0.0,70.0,225.0,0.0,0.0,0.0,138.0,0.0,0.0
43,2017,Bus,2,0.0,0.0,0.0,370.0,340.0,0.0,0.0,270.0,0.0,130.0,0.0
44,2017,Bus,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0
45,2017,Bus,4,0.0,251.0,0.0,391.0,131.0,70.0,178.0,67.0,50.0,71.0,0.0
46,2017,Bus,5,0.0,1025.0,105.0,774.0,566.0,439.0,0.0,672.0,194.0,755.0,351.0
47,2017,Bus,6,0.0,3174.0,1248.0,2024.0,2401.0,3770.0,3000.0,3221.0,3918.0,3625.0,1977.0
48,2017,Bus,7,0.0,7462.0,4577.0,7294.0,5000.0,6881.0,4940.0,6794.0,4425.0,6473.0,6522.0
49,2017,Bus,8,0.0,9747.0,4432.0,8412.0,8734.0,8716.0,9530.0,7971.0,11031.0,11081.0,10057.0
50,2017,Bus,9,0.0,6785.0,3290.0,5642.0,3986.0,5527.0,4214.0,7049.0,6348.0,5061.0,4880.0
51,2017,Bus,10,0.0,1936.0,1029.0,1705.0,1918.0,1737.0,1234.0,2225.0,1323.0,879.0,536.0
