,YEAR,TransMode,Hour,Sex_F,Sex_M
0,2017,AutoOccupants,0,395.0,761.0
1,2017,AutoOccupants,1,106.0,282.0
2,2017,AutoOccupants,2,532.0,1948.0
3,2017,AutoOccupants,3,466.0,2661.0
4,2017,AutoOccupants,4,498.0,4106.0
5,2017,AutoOccupants,5,2602.0,15411.0
6,2017,AutoOccupants,6,12758.0,32636.0
7,2017,AutoOccupants,7,23309.0,47189.0
8,2017,AutoOccupants,8,29253.0,40523.0
9,2017,AutoOccupants,9,21017.0,25639.0
10,2017,AutoOccupants,10,7369.0,13279.0
11,2017,AutoOccupants,11,3159.0,4240.0
12,2017,AutoOccupants,12,1719.0,3871.0
13,2017,AutoOccupants,13,1720.0,3391.0
14,2017,AutoOccupants,14,1282.0,4069.0
15,2017,AutoOccupants,15,1218.0,4243.0
16,2017,AutoOccupants,16,2040.0,2969.0
17,2017,AutoOccupants,17,917.0,3498.0
18,2017,AutoOccupants,18,1940.0,2109.0
19,2017,AutoOccupants,19,1432.0,2125.0
20,2017,AutoOccupants,20,294.0,1186.0
21,2017,AutoOccupants,21,353.0,2104.0
22,2017,AutoOccupants,22,424.0,4520.0
23,2017,AutoOccupants,23,770.0,3951.0
24,2017,Bicycle,4,617.0,201.0
25,2017,Bicycle,5,0.0,282.0
26,2017,Bicycle,6,656.0,962.0
27,2017,Bicycle,7,773.0,2425.0
28,2017,Bicycle,8,2851.0,6585.0
29,2017,Bicycle,9,3773.0,3792.0
30,2017,Bicycle,10,339.0,1632.0
31,2017,Bicycle,11,141.0,174.0
32,2017,Bicycle,12,52.0,437.0
33,2017,Bicycle,13,0.0,40.0
34,2017,Bicycle,14,0.0,417.0
35,2017,Bicycle,15,64.0,450.0
36,2017,Bicycle,16,0.0,113.0
37,2017,Bicycle,17,211.0,164.0
38,2017,Bicycle,18,0.0,489.0
39,2017,Bicycle,19,0.0,219.0
40,2017,Bicycle,20,0.0,91.0
41,2017,Bus,0,897.0,524.0
42,2017,Bus,1,325.0,108.0
43,2017,Bus,2,682.0,428.0
44,2017,Bus,3,152.0,0.0
45,2017,Bus,4,299.0,910.0
46,2017,Bus,5,1334.0,3547.0
47,2017,Bus,6,11383.0,16975.0
48,2017,Bus,7,28896.0,31472.0
49,2017,Bus,8,44907.0,44804.0
50,2017,Bus,9,31110.0,21672.0
51,2017,Bus,10,8227.0,6295.0
52,2017,Bus,11,1160.0,2111.0
53,2017,Bus,12,1884.0,1961.0
54,2017,Bus,13,675.0,1590.0
55,2017,Bus,14,2096.0,1914.0
56,2017,Bus,15,1833.0,2446.0
57,2017,Bus,16,1377.0,1294.0
58,2017,Bus,17,123.0,472.0
59,2017,Bus,18,567.0,985.0
60,2017,Bus,19,676.0,559.0
61,2017,Bus,20,685.0,188.0
62,2017,Bus,21,0.0,364.0
63,2017,Bus,22,428.0,1046.0
64,2017,Bus,23,511.0,771.0
65,2017,CommuterRail,1,0.0,236.0
66,2017,CommuterRail,2,0.0,493.0
67,2017,CommuterRail,3,376.0,0.0
68,2017,CommuterRail,4,388.0,81.0
69,2017,CommuterRail,5,992.0,3670.0
70,2017,CommuterRail,6,4866.0,18306.0
71,2017,CommuterRail,7,24208.0,42757.0
72,2017,CommuterRail,8,53044.0,72170.0
