"PUMAKEY_HOME","PUMAKEY_WORK","DISTANCE_KM"
"36_03801","09_00100","86.22803576143205"
"36_03802","09_00100","92.33632962357548"
"36_03803","09_00100","91.84409148324688"
"36_03804","09_00100","93.20277252908271"
"36_03805","09_00100","97.28617368964018"
"36_03806","09_00100","97.1075997117218"
"36_03807","09_00100","101.8889656016723"
"36_03808","09_00100","101.62122344744405"
"36_03809","09_00100","105.34856519400014"
"36_03810","09_00100","107.0688082258783"
"36_03801","09_00300","193.99150513983267"
"36_03802","09_00300","200.11969498538764"
"36_03803","09_00300","199.62798668799167"
"36_03804","09_00300","200.95837067559833"
"36_03805","09_00300","205.03157202709102"
"36_03806","09_00300","204.88858179879492"
"36_03807","09_00300","209.65713568976457"
"36_03808","09_00300","209.3469544440963"
"36_03809","09_00300","213.03157711663192"
"36_03810","09_00300","214.79545280809467"
"36_03801","09_00500","158.40101629011824"
"36_03802","09_00500","164.81442467350186"
"36_03803","09_00500","164.64821490883"
"36_03804","09_00500","166.58355323394605"
"36_03805","09_00500","170.67069604796097"
"36_03806","09_00500","169.8986187190422"
"36_03807","09_00500","174.8480462207134"
"36_03808","09_00500","175.08076766224053"
"36_03809","09_00500","179.0339903979177"
"36_03810","09_00500","180.38518701079428"
"36_03801","09_00700","179.41965017821093"
"36_03802","09_00700","184.76820907493087"
"36_03803","09_00700","183.9488911592339"
"36_03804","09_00700","184.51272174623355"
"36_03805","09_00700","188.28359429325621"
"36_03806","09_00700","188.84758102912625"
"36_03807","09_00700","193.09408901493396"
"36_03808","09_00700","192.20393548056532"
"36_03809","09_00700","195.35550730858736"
"36_03810","09_00700","197.46234222855992"
"36_03801","09_00900","138.13134864626332"
"36_03802","09_00900","143.84213584416605"
"36_03803","09_00900","143.14985857541228"
"36_03804","09_00900","144.04398778227818"
"36_03805","09_00900","147.98147309330042"
"36_03806","09_00900","148.24544859612288"
"36_03807","09_00900","152.7534189430609"
"36_03808","09_00900","152.11191353466157"
"36_03809","09_00900","155.53265023161384"
"36_03810","09_00900","157.50024779003377"
"36_03801","09_01100","224.06705786053033"
"36_03802","09_01100","229.053588308975"
"36_03803","09_01100","228.13398126872463"
"36_03804","09_01100","228.41069399833884"
"36_03805","09_01100","231.99833585205104"
"36_03806","09_01100","232.81356550411013"
"36_03807","09_01100","236.79065545462456"
"36_03808","09_01100","235.69560836131697"
"36_03809","09_01100","238.5804033483643"
"36_03810","09_01100","240.78469290157236"
"36_03801","09_01300","231.1810915460435"
"36_03802","09_01300","237.04425142098162"
"36_03803","09_01300","236.40924443446124"
"36_03804","09_01300","237.4228890446839"
"36_03805","09_01300","241.40176582923442"
"36_03806","09_01300","241.56400032105606"
"36_03807","09_01300","246.1487986227095"
"36_03808","09_01300","245.58127591381628"
"36_03809","09_01300","249.05935336679502"
"36_03810","09_01300","250.9911103001775"
"36_03801","09_01500","260.0877801702248"
"36_03802","09_01500","265.6394057166025"
"36_03803","09_01500","264.8811106640151"
"36_03804","09_01500","265.5944358480379"
"36_03805","09_01500","269.4397261381776"
"36_03806","09_01500","269.87863299488356"
"36_03807","09_01500","274.24255448738853"
"36_03808","09_01500","273.44619659497386"
"36_03809","09_01500","276.6954003263381"
"36_03810","09_01500","278.7587693341783"
"36_03801","23_00100","1031.5744581786776"
"36_03802","23_00100","1037.8693468462"
"36_03803","23_00100","1037.5028723931457"
"36_03804","23_00100","1039.0621971245025"
"36_03805","23_00100","1043.1680422815805"
"36_03806","23_00100","1042.797281492555"
"36_03807","23_00100","1047.6660233056614"
"36_03808","23_00100","1047.5430331443702"
"36_03809","23_00100","1051.3355557455975"
"36_03810","23_00100","1052.9771921984866"
"36_03801","23_00200","821.6986219017963"
"36_03802","23_00200","828.071498038253"
"36_03803","23_00200","827.8043590259632"
"36_03804","23_00200","829.5476456865812"
"36_03805","23_00200","833.6585527064194"
"36_03806","23_00200","833.0923057665707"
"36_03807","23_00200","838.0152525519416"
"36_03808","23_00200","838.0642986819945"
"36_03809","23_00200","841.9442599726909"
"36_03810","23_00200","843.453327014074"
"36_03801","23_00300","909.2903379280655"
"36_03802","23_00300","915.5081452098048"
"36_03803","23_00300","915.0728930331835"
"36_03804","23_00300","916.4985649377353"
"36_03805","23_00300","920.5870342601875"
"36_03806","23_00300","920.3538480393288"
"36_03807","23_00300","925.1682541210056"
"36_03808","23_00300","924.9261292360094"
"36_03809","23_00300","928.6459272672495"
"36_03810","23_00300","930.3735222997657"
"36_03801","23_00400","709.9924151525123"
"36_03802","23_00400","716.197314826297"
"36_03803","23_00400","715.7525383292037"
"36_03804","23_00400","717.1606119571985"
"36_03805","23_00400","721.2462084635825"
"36_03806","23_00400","721.0305371987897"
"36_03807","23_00400","725.8368517407864"
"36_03808","23_00400","725.5803032345409"
"36_03809","23_00400","729.291397080224"
"36_03810","23_00400","731.0282763093295"
"36_03801","23_00500","793.3370927443481"
"36_03802","23_00500","799.3625766078228"
"36_03803","23_00500","798.8017673135611"
"36_03804","23_00500","799.9658070748577"
"36_03805","23_00500","803.991076380854"
"36_03806","23_00500","804.0175987712037"
"36_03807","23_00500","808.6943970767223"
"36_03808","23_00500","808.2307489915539"
"36_03809","23_00500","811.7869516972877"
"36_03810","23_00500","813.6632280304497"
"36_03801","23_00600","649.5321591621689"
"36_03802","23_00600","655.7674256162773"
"36_03803","23_00600","655.3471772945596"
"36_03804","23_00600","656.8048023418934"
"36_03805","23_00600","660.898658497306"
"36_03806","23_00600","660.6324795099906"
"36_03807","23_00600","665.4607203678531"
"36_03808","23_00600","665.2479951758531"
"36_03809","23_00600","668.9879273425202"
"36_03810","23_00600","670.6933996109833"
"36_03801","23_00790","573.9218214737851"
"36_03802","23_00790","580.0922852745696"
"36_03803","23_00790","579.6227102564933"
"36_03804","23_00790","580.9821067059827"
"36_03805","23_00790","585.0585643263871"
"36_03806","23_00790","584.8914999773878"
"36_03807","23_00790","589.6746961973977"
"36_03808","23_00790","589.3771719897891"
"36_03809","23_00790","593.0612818800702"
"36_03810","23_00790","594.8257139546339"
"36_03801","25_00100","239.5149978979139"
"36_03802","25_00100","245.90216207966637"
"36_03803","25_00100","245.94277682152756"
"36_03804","25_00100","248.18393697820272"
"36_03805","25_00100","252.16276463755528"
"36_03806","25_00100","251.0297878890649"
"36_03807","25_00100","255.9494589501697"
"36_03808","25_00100","256.5075161201122"
"36_03809","25_00100","260.51590541715086"
"36_03810","25_00100","261.5822183542306"
"36_03801","25_00290","267.5425630097369"
"36_03802","25_00290","273.9159654816788"
"36_03803","25_00290","273.6531530446938"
"36_03804","25_00290","275.4146572640217"
"36_03805","25_00290","279.52441187834427"
"36_03806","25_00290","278.93976467570434"
"36_03807","25_00290","283.8651862584607"
"36_03808","25_00290","283.9324208586251"
"36_03809","25_00290","287.82397447572123"
"36_03810","25_00290","289.3134921997605"
"36_03801","25_00390","352.9102956033807"
"36_03802","25_00390","358.6072701137695"
"36_03803","25_00390","357.89959334369604"
"36_03804","25_00390","358.7332790928744"
"36_03805","25_00390","362.63394497187306"
"36_03806","25_00390","362.9675066242301"
"36_03807","25_00390","367.42225929344534"
"36_03808","25_00390","366.7080122913666"
"36_03809","25_00390","370.0393206868868"
"36_03810","25_00390","372.0609495653491"
"36_03801","25_03300","386.3310721234892"
"36_03802","25_03300","391.92722549602075"
"36_03803","25_03300","391.18155814008713"
"36_03804","25_03300","391.9199072959979"
"36_03805","25_03300","395.7740889955127"
"36_03806","25_03300","396.19536408034395"
"36_03807","25_03300","400.57535453522127"
"36_03808","25_03300","399.7881915666254"
"36_03809","25_03300","403.0413716789686"
"36_03810","25_03300","405.1035844037048"
"36_03801","25_04790","414.77247997881994"
"36_03802","25_04790","419.0694596495193"
"36_03803","25_04790","418.00292375643943"
"36_03804","25_04790","417.79756504574294"
"36_03805","25_04790","420.9970512785952"
"36_03806","25_04790","422.2177084307072"
"36_03807","25_04790","425.64972840698493"
"36_03808","25_04790","424.2290044480852"
"36_03809","25_04790","426.58417533921585"
"36_03810","25_04790","428.9044547126584"
"36_03801","33_00100","587.7166843286849"
"36_03802","33_00100","594.1379112773194"
"36_03803","33_00100","594.0135864117511"
"36_03804","33_00100","595.9998054537152"
"36_03805","33_00100","600.0774538243105"
"36_03806","33_00100","599.2413009475799"
"36_03807","33_00100","604.193499010562"
"36_03808","33_00100","604.4837366152028"
"36_03809","33_00100","608.449176260505"
"36_03810","33_00100","609.7579949640597"
"36_03801","33_00290","464.96866596671447"
"36_03802","33_00290","471.26506118328535"
"36_03803","33_00290","470.90207690106416"
"36_03804","33_00290","472.47347721379305"
"36_03805","33_00290","476.58066225929167"
"36_03806","33_00290","476.19685057452796"
"36_03807","33_00290","481.06919260151267"
"36_03808","33_00290","480.95943794617654"
"36_03809","33_00290","484.76197691513573"
"36_03810","33_00290","486.3907706764442"
"36_03801","33_00500","386.6523372775093"
"36_03802","33_00500","393.0633157233318"
"36_03803","33_00500","392.88406341251834"
"36_03804","33_00500","394.784039252187"
"36_03805","33_00500","398.87894566783876"
"36_03806","33_00500","398.14162423950376"
"36_03807","33_00500","403.08918911860854"
"36_03808","33_00500","403.29079951327947"
"36_03809","33_00500","407.23104378765464"
"36_03810","33_00500","408.613586280475"
"36_03801","34_00190","232.2074034149806"
"36_03802","34_00190","225.79811666020285"
"36_03803","34_00190","225.8178496539914"
"36_03804","34_00190","223.6915954249749"
"36_03805","34_00190","219.65522487820704"
"36_03806","34_00190","220.6703083897958"
"36_03807","34_00190","215.7331016147824"
"36_03808","34_00190","215.27393144883538"
"36_03809","34_00190","211.27765853658516"
"36_03810","34_00190","210.1134837811749"
"36_03801","34_00300","22.58228083687204"
"36_03802","34_00300","25.280212067298713"
"36_03803","34_00300","26.3877557767029"
"36_03804","34_00300","29.250027758275504"
"36_03805","34_00300","31.09931001463375"
"36_03806","34_00300","28.621590118018904"
"36_03807","34_00300","31.98198754418637"
"36_03808","34_00300","33.79678323711002"
"36_03809","34_00300","37.04919120619877"
"36_03810","34_00300","36.75567667598085"
"36_03801","34_00400","48.7717111983126"
"36_03802","34_00400","49.93309528683534"
"36_03803","34_00400","51.21963203908454"
"36_03804","34_00400","53.7868683511572"
"36_03805","34_00400","54.445948236158095"
"36_03806","34_00400","51.813659695737584"
"36_03807","34_00400","53.606206617409015"
"36_03808","34_00400","55.80459627907737"
"36_03809","34_00400","58.009378114785534"
"36_03810","34_00400","56.86449842102792"
"36_03801","34_00600","23.45879712059317"
"36_03802","34_00600","17.48283965132348"
"36_03803","34_00600","18.185958270230905"
"36_03804","34_00600","17.677293421191933"
"36_03805","34_00600","14.263047101934934"
"36_03806","34_00600","13.27861628448137"
"36_03807","34_00600","9.674676269090472"
"36_03808","34_00600","11.41277303226729"
"36_03809","34_00600","10.677268958226007"
"36_03810","34_00600","8.589616662723994"
"36_03801","34_00800","117.20083111519045"
"36_03802","34_00800","112.59299622641647"
"36_03803","34_00800","113.62796628454417"
"36_03804","34_00800","113.78725136460638"
"36_03805","34_00800","110.62787541811831"
"36_03806","34_00800","109.36769187620084"
"36_03807","34_00800","106.02518780150743"
"36_03808","34_00800","107.54438404586928"
"36_03809","34_00800","105.47731139378106"
"36_03810","34_00800","103.1219030686427"
"36_03801","34_00900","81.43825857727403"
"36_03802","34_00900","75.26865069190652"
"36_03803","34_00900","75.76740631784244"
"36_03804","34_00900","74.54613553191699"
"36_03805","34_00900","70.52470298229062"
"36_03806","34_00900","70.52255460103666"
"36_03807","34_00900","65.81814195882231"
"36_03808","34_00900","66.31194631833644"
"36_03809","34_00900","62.84942768696893"
"36_03810","34_00900","60.89850993121302"
"36_03801","34_01000","87.57874772423513"
"36_03802","34_01000","82.39267085781312"
"36_03803","34_01000","83.30113388708229"
"36_03804","34_01000","83.08596000555004"
"36_03805","34_01000","79.63190802342871"
"36_03806","34_01000","78.66712066474467"
"36_03807","34_01000","74.89471192853193"
"36_03808","34_01000","76.20461964572273"
"36_03809","34_01000","73.78182711337165"
"36_03810","34_01000","71.461255826979"
"36_03801","34_01100","93.46932191023959"
"36_03802","34_01100","87.07548745393044"
"36_03803","34_01100","87.05685543779234"
"36_03804","34_01100","84.89739979955638"
"36_03805","34_01100","80.87128273672353"
"36_03806","34_01100","81.94740106463823"
"36_03807","34_01100","77.02788918308758"
"36_03808","34_01100","76.500440630072"
"36_03809","34_01100","72.4982612522877"
"36_03810","34_01100","71.39439859782802"
"36_03801","34_01200","144.39864621244723"
"36_03802","34_01200","138.06360914560145"
"36_03803","34_01200","137.94466689803545"
"36_03804","34_01200","135.62970910281376"
"36_03805","34_01200","131.6907141704146"
"36_03806","34_01200","132.9546678066954"
"36_03807","34_01200","128.09035305660825"
"36_03808","34_01200","127.3875629437308"
"36_03809","34_01200","123.3789422158789"
"36_03810","34_01200","122.45474792990424"
"36_03801","34_01300","36.73287003513305"
"36_03802","34_01300","32.83179662660404"
"36_03803","34_01300","34.02543665756386"
"36_03804","34_01300","34.88448375658138"
"36_03805","34_01300","32.67603720999886"
"36_03806","34_01300","30.730310406117383"
"36_03807","34_01300","28.95540150536997"
"36_03808","34_01300","31.060868657906834"
"36_03809","34_01300","30.887417501440957"
"36_03810","34_01300","28.784885891128837"
"36_03801","34_01500","68.32453492711085"
"36_03802","34_01500","65.86786431180596"
"36_03803","34_01500","67.1731358233307"
"36_03804","34_01500","68.5565806393328"
"36_03805","34_01500","66.88882892626046"
"36_03806","34_01500","64.7126146201149"
"36_03807","34_01500","63.50086911743077"
"36_03808","34_01500","65.66287080376163"
"36_03809","34_01500","65.59347403638512"
"36_03810","34_01500","63.47169182555922"
"36_03801","34_01600","94.3170871802573"
"36_03802","34_01600","94.5992203729483"
"36_03803","34_01600","95.93754521356762"
"36_03804","34_01600","98.23517756210093"
"36_03805","34_01600","98.13066619022676"
"36_03806","34_01600","95.55288302695456"
"36_03807","34_01600","96.26036009614609"
"36_03808","34_01600","98.54565261124033"
"36_03809","34_01600","99.87238360713437"
"36_03810","34_01600","98.22635029145361"
"36_03801","34_01700","118.69843251044993"
"36_03802","34_01700","116.06255678023801"
"36_03803","34_01700","117.34783315867766"
"36_03804","34_01700","118.57479021660352"
"36_03805","34_01700","116.61369135929178"
"36_03806","34_01700","114.57612378353578"
"36_03807","34_01700","112.88720018389456"
"36_03808","34_01700","114.94499290839953"
"36_03809","34_01700","114.34061452148599"
"36_03810","34_01700","112.0850181345545"
"36_03801","34_01800","51.149050937035284"
"36_03802","34_01800","45.69943218804644"
"36_03803","34_01800","46.55191754680935"
"36_03804","34_01800","46.23354653665006"
