index,Sector,PointEntryExit,TransMode,Hour,In,Out,In+Out,|In-Out|,Net Flow Dir,lon,lat
72,60thSt,10thAveAmsterdamAve,ALL,2019-10-23 00:00:00,0,693,693,693,Out +,-73.98798681970806,40.7698732187965
73,60thSt,10thAveAmsterdamAve,ALL,2019-10-23 01:00:00,0,432,432,432,Out +,-73.98798681970806,40.7698732187965
74,60thSt,10thAveAmsterdamAve,ALL,2019-10-23 02:00:00,0,308,308,308,Out +,-73.98798681970806,40.7698732187965
75,60thSt,10thAveAmsterdamAve,ALL,2019-10-23 03:00:00,0,319,319,319,Out +,-73.98798681970806,40.7698732187965
76,60thSt,10thAveAmsterdamAve,ALL,2019-10-23 04:00:00,0,350,350,350,Out +,-73.98798681970806,40.7698732187965
77,60thSt,10thAveAmsterdamAve,ALL,2019-10-23 05:00:00,0,671,671,671,Out +,-73.98798681970806,40.7698732187965
78,60thSt,10thAveAmsterdamAve,ALL,2019-10-23 06:00:00,8,972,980,964,Out +,-73.98798681970806,40.7698732187965
79,60thSt,10thAveAmsterdamAve,ALL,2019-10-23 07:00:00,4,1309,1313,1305,Out +,-73.98798681970806,40.7698732187965
80,60thSt,10thAveAmsterdamAve,ALL,2019-10-23 08:00:00,4,1193,1197,1189,Out +,-73.98798681970806,40.7698732187965
81,60thSt,10thAveAmsterdamAve,ALL,2019-10-23 09:00:00,5,1221,1226,1216,Out +,-73.98798681970806,40.7698732187965
82,60thSt,10thAveAmsterdamAve,ALL,2019-10-23 10:00:00,10,1299,1309,1289,Out +,-73.98798681970806,40.7698732187965
83,60thSt,10thAveAmsterdamAve,ALL,2019-10-23 11:00:00,9,1349,1358,1340,Out +,-73.98798681970806,40.7698732187965
84,60thSt,10thAveAmsterdamAve,ALL,2019-10-23 12:00:00,11,1299,1310,1288,Out +,-73.98798681970806,40.7698732187965
85,60thSt,10thAveAmsterdamAve,ALL,2019-10-23 13:00:00,19,1457,1476,1438,Out +,-73.98798681970806,40.7698732187965
86,60thSt,10thAveAmsterdamAve,ALL,2019-10-23 14:00:00,15,1571,1586,1556,Out +,-73.98798681970806,40.7698732187965
87,60thSt,10thAveAmsterdamAve,ALL,2019-10-23 15:00:00,12,1633,1645,1621,Out +,-73.98798681970806,40.7698732187965
88,60thSt,10thAveAmsterdamAve,ALL,2019-10-23 16:00:00,14,1854,1868,1840,Out +,-73.98798681970806,40.7698732187965
89,60thSt,10thAveAmsterdamAve,ALL,2019-10-23 17:00:00,12,1975,1987,1963,Out +,-73.98798681970806,40.7698732187965
90,60thSt,10thAveAmsterdamAve,ALL,2019-10-23 18:00:00,20,2024,2044,2004,Out +,-73.98798681970806,40.7698732187965
91,60thSt,10thAveAmsterdamAve,ALL,2019-10-23 19:00:00,14,1785,1799,1771,Out +,-73.98798681970806,40.7698732187965
92,60thSt,10thAveAmsterdamAve,ALL,2019-10-23 20:00:00,28,1509,1537,1481,Out +,-73.98798681970806,40.7698732187965
93,60thSt,10thAveAmsterdamAve,ALL,2019-10-23 21:00:00,24,1319,1343,1295,Out +,-73.98798681970806,40.7698732187965
94,60thSt,10thAveAmsterdamAve,ALL,2019-10-23 22:00:00,3,1367,1370,1364,Out +,-73.98798681970806,40.7698732187965
95,60thSt,10thAveAmsterdamAve,ALL,2019-10-23 23:00:00,7,1133,1140,1126,Out +,-73.98798681970806,40.7698732187965
168,60thSt,11thAveWestEndAve,ALL,2019-10-23 00:00:00,315,131,446,184,In +,-73.99087619201589,40.77101957740254
169,60thSt,11thAveWestEndAve,ALL,2019-10-23 01:00:00,192,72,264,120,In +,-73.99087619201589,40.77101957740254
170,60thSt,11thAveWestEndAve,ALL,2019-10-23 02:00:00,117,40,157,77,In +,-73.99087619201589,40.77101957740254
171,60thSt,11thAveWestEndAve,ALL,2019-10-23 03:00:00,86,45,131,41,In +,-73.99087619201589,40.77101957740254
172,60thSt,11thAveWestEndAve,ALL,2019-10-23 04:00:00,128,76,204,52,In +,-73.99087619201589,40.77101957740254
173,60thSt,11thAveWestEndAve,ALL,2019-10-23 05:00:00,245,167,412,78,In +,-73.99087619201589,40.77101957740254
174,60thSt,11thAveWestEndAve,ALL,2019-10-23 06:00:00,552,444,996,108,In +,-73.99087619201589,40.77101957740254
175,60thSt,11thAveWestEndAve,ALL,2019-10-23 07:00:00,1019,781,1800,238,In +,-73.99087619201589,40.77101957740254
176,60thSt,11thAveWestEndAve,ALL,2019-10-23 08:00:00,1351,799,2150,552,In +,-73.99087619201589,40.77101957740254
177,60thSt,11thAveWestEndAve,ALL,2019-10-23 09:00:00,1233,884,2117,349,In +,-73.99087619201589,40.77101957740254
178,60thSt,11thAveWestEndAve,ALL,2019-10-23 10:00:00,1002,852,1854,150,In +,-73.99087619201589,40.77101957740254
179,60thSt,11thAveWestEndAve,ALL,2019-10-23 11:00:00,993,741,1734,252,In +,-73.99087619201589,40.77101957740254
180,60thSt,11thAveWestEndAve,ALL,2019-10-23 12:00:00,1016,581,1597,435,In +,-73.99087619201589,40.77101957740254
181,60thSt,11thAveWestEndAve,ALL,2019-10-23 13:00:00,1006,587,1593,419,In +,-73.99087619201589,40.77101957740254
182,60thSt,11thAveWestEndAve,ALL,2019-10-23 14:00:00,1050,680,1730,370,In +,-73.99087619201589,40.77101957740254
183,60thSt,11thAveWestEndAve,ALL,2019-10-23 15:00:00,1059,753,1812,306,In +,-73.99087619201589,40.77101957740254
184,60thSt,11thAveWestEndAve,ALL,2019-10-23 16:00:00,1135,1099,2234,36,In +,-73.99087619201589,40.77101957740254
185,60thSt,11thAveWestEndAve,ALL,2019-10-23 17:00:00,1154,1259,2413,105,Out +,-73.99087619201589,40.77101957740254
186,60thSt,11thAveWestEndAve,ALL,2019-10-23 18:00:00,1372,1124,2496,248,In +,-73.99087619201589,40.77101957740254
187,60thSt,11thAveWestEndAve,ALL,2019-10-23 19:00:00,1319,1040,2359,279,In +,-73.99087619201589,40.77101957740254
188,60thSt,11thAveWestEndAve,ALL,2019-10-23 20:00:00,1140,533,1673,607,In +,-73.99087619201589,40.77101957740254
189,60thSt,11thAveWestEndAve,ALL,2019-10-23 21:00:00,972,411,1383,561,In +,-73.99087619201589,40.77101957740254
190,60thSt,11thAveWestEndAve,ALL,2019-10-23 22:00:00,864,346,1210,518,In +,-73.99087619201589,40.77101957740254
191,60thSt,11thAveWestEndAve,ALL,2019-10-23 23:00:00,692,252,944,440,In +,-73.99087619201589,40.77101957740254
