PUMAKEY_HOME,Bus,Subway,CommuterRail,Ferry
09_00100,0,0,1,0
09_00101,0,0,1,0
09_00102,0,0,1,0
09_00103,0,0,1,0
09_00104,0,0,1,0
09_00105,0,0,1,0
09_00300,0,0,0,0
09_00301,0,0,0,0
09_00302,0,0,0,0
09_00306,0,0,0,0
09_00500,0,0,0,0
09_00700,0,0,0,0
09_00900,0,0,0,0
09_00901,0,0,0,0
09_00902,0,0,0,0
09_00903,0,0,0,0
09_00904,0,0,0,0
09_00905,0,0,0,0
09_00906,0,0,0,0
09_01101,0,0,0,0
09_01300,0,0,0,0
23_00500,0,0,0,0
25_00100,0,0,0,0
25_00200,0,0,0,0
25_00301,0,0,0,0
25_00303,0,0,0,0
25_00503,0,0,0,0
25_00504,0,0,0,0
25_00506,0,0,0,0
25_00703,0,0,0,0
25_01900,0,0,0,0
25_03302,0,0,0,0
25_03400,0,0,0,0
25_03500,0,0,0,0
25_04301,0,0,0,0
25_04500,0,0,0,0
25_04800,0,0,0,0
33_00100,0,0,0,0
33_00500,0,0,0,0
34_00102,0,0,0,0
34_00301,1,0,0,0
34_00302,1,0,1,0
34_00303,1,0,0,1
34_00304,1,0,1,0
34_00305,1,0,0,1
34_00306,1,0,1,0
34_00307,1,0,0,0
34_00308,1,0,1,0
34_00400,0,0,0,0
34_00501,1,0,1,0
34_00502,1,0,0,0
34_00503,1,0,0,0
34_00601,1,1,1,1
34_00602,1,1,1,0
34_00701,1,0,1,1
34_00702,1,1,1,1
34_00703,0,1,1,0
34_00800,1,0,0,0
34_00901,1,0,1,0
34_00902,1,0,1,0
34_00903,0,0,1,0
34_00904,0,0,1,0
34_00905,1,0,1,0
34_00906,1,0,0,0
34_00907,1,0,0,0
34_01001,0,0,1,0
34_01002,0,0,1,0
34_01003,0,0,1,0
34_01101,0,0,0,1
34_01102,1,0,0,0
34_01103,0,0,0,1
34_01104,1,0,0,1
34_01105,1,0,1,1
34_01106,1,0,1,0
34_01201,0,0,0,0
34_01202,0,0,0,0
34_01203,0,0,0,0
34_01204,1,0,0,0
34_01205,0,0,0,0
34_01301,0,0,0,0
34_01302,1,0,0,0
34_01401,1,0,1,0
34_01402,1,0,1,0
34_01403,1,0,1,0
34_01404,1,0,1,0
34_01501,1,0,0,0
34_01502,0,0,0,0
34_01503,0,0,0,0
34_01504,0,0,1,0
34_01600,0,0,0,0
34_01700,0,0,0,0
34_01800,0,0,0,0
34_01901,1,0,1,0
34_01902,1,0,1,0
34_01903,0,0,1,1
34_01904,0,0,1,0
34_02001,0,0,0,0
34_02002,0,0,0,0
34_02003,0,0,0,0
34_02103,0,0,0,0
34_02104,0,0,0,0
34_02202,0,0,0,0
34_02301,0,0,1,0
34_02302,0,0,1,0
34_02303,0,0,0,0
34_02600,0,0,0,0
36_00200,0,0,0,0
36_00300,0,0,0,0
36_00403,0,0,0,0
36_00500,0,0,0,0
36_00600,0,0,0,0
36_00902,0,0,0,0
36_00905,0,0,0,0
36_00906,0,0,0,0
36_01205,0,0,0,0
36_01801,0,0,0,0
36_01802,0,0,0,0
36_01900,0,0,0,0
36_02002,0,0,0,0
36_02100,0,0,0,0
36_02203,0,0,0,0
36_02300,0,0,0,0
36_02401,0,0,0,0
36_02500,0,0,0,0
36_02600,0,0,0,0
36_02701,0,0,0,0
36_02702,0,0,0,0
36_02801,0,0,1,0
36_02802,0,0,1,0
36_02901,0,0,1,0
36_02902,0,0,0,0
36_02903,1,0,1,0
36_03001,1,0,0,0
36_03002,1,0,1,0
36_03003,0,0,0,0
36_03101,0,0,1,0
36_03102,0,0,1,0
36_03103,0,0,1,0
36_03104,0,0,1,0
36_03105,0,0,1,0
36_03106,1,1,1,0
36_03107,0,1,1,0
36_03201,0,0,1,0
36_03202,0,0,1,0
36_03203,0,0,1,0
36_03204,0,0,1,0
36_03205,0,0,1,0
36_03206,1,0,1,0
36_03207,0,0,1,0
36_03208,0,0,1,0
36_03209,0,0,1,0
36_03210,0,0,1,0
36_03211,0,0,1,0
36_03212,0,0,1,0
36_03301,0,0,1,0
36_03302,0,0,1,0
36_03303,0,0,1,0
36_03304,0,0,0,0
36_03305,0,0,1,0
36_03306,0,0,0,0
36_03307,0,0,1,0
36_03308,0,0,1,0
36_03309,0,0,1,0
36_03310,0,0,1,0
36_03311,0,0,1,0
36_03312,0,0,1,0
36_03313,0,0,1,0
36_03701,1,1,1,0
36_03702,1,1,0,0
36_03703,1,1,0,0
36_03704,1,1,0,0
36_03705,1,1,1,0
36_03706,1,1,1,0
36_03707,1,1,0,0
36_03708,1,1,0,0
36_03709,1,1,0,0
36_03710,1,1,0,0
36_03801,1,1,1,0
36_03802,1,1,0,0
36_03803,1,1,0,0
36_03804,1,1,0,0
36_03805,1,1,0,0
36_03806,1,1,0,0
36_03807,1,1,0,0
36_03808,1,1,0,0
36_03809,1,1,0,0
36_03810,1,1,0,0
36_03901,1,0,0,1
36_03902,1,0,0,1
36_03903,1,0,0,1
36_04001,0,1,0,1
36_04002,0,1,0,0
36_04003,0,1,0,0
36_04004,0,1,0,1
36_04005,0,1,0,0
36_04006,0,1,0,0
36_04007,0,1,0,0
36_04008,1,1,0,0
36_04009,1,1,1,0
36_04010,1,1,1,0
36_04011,0,1,0,0
36_04012,0,1,0,0
36_04013,1,1,0,0
36_04014,0,1,0,0
36_04015,1,1,0,0
36_04016,1,1,0,0
36_04017,1,1,0,0
36_04018,0,1,0,0
36_04101,1,1,0,0
36_04102,1,1,0,0
36_04103,1,1,0,0
36_04104,1,1,1,0
36_04105,1,1,1,0
36_04106,1,1,0,0
36_04107,1,1,1,0
36_04108,0,1,0,0
36_04109,0,1,0,0
36_04110,1,1,0,0
36_04111,1,1,0,0
36_04112,1,1,0,0
36_04113,1,1,0,0
36_04114,1,1,0,0
42_00500,1,0,0,0
42_00600,1,0,0,0
42_00702,0,0,0,0
42_00801,0,0,0,0
42_00802,0,0,0,0
42_01502,0,0,0,0
42_01702,0,0,0,0
42_01804,0,0,0,0
42_02702,0,0,0,0
42_02801,0,0,0,0
42_02802,0,0,0,0
42_02803,0,0,0,0
42_02901,0,0,0,0
42_03001,0,0,0,0
42_03002,0,0,0,0
42_03003,0,0,0,0
42_03004,0,0,0,0
42_03103,0,0,0,0
42_03104,0,0,0,0
42_03106,0,0,0,0
42_03204,0,0,0,0
42_03206,0,0,0,0
42_03209,0,0,0,0
42_03210,0,0,0,0
42_03301,0,0,0,0
42_03302,0,0,0,0
42_03304,0,0,0,0
42_03401,0,0,0,0
42_03402,0,0,0,0
42_03403,0,0,0,0
42_03404,0,0,0,0
42_03501,0,0,0,0
42_03503,0,0,0,0
44_00101,0,0,0,0
44_00103,0,0,0,0
44_00201,0,0,0,0
44_00300,0,0,0,0
44_00400,0,0,0,0
50_00400,0,0,0,0
