PEV_DELAY,Charge_Hour,Energy,,,,,,,,,
,,Earliest,Earliest,,,,Latest,,,,Random
Earliest,0,142877.2601,142.8772601,Latest,0,143507.3454,143.5073454,Random,0,142243.4059,142.2434059
Earliest,1,139222.469,139.222469,Latest,1,139885.4348,139.8854348,Random,1,139918.0019,139.9180019
Earliest,2,139418.5538,139.4185538,Latest,2,140977.03,140.97703,Random,2,140046.5725,140.0465725
Earliest,3,134493.4505,134.4934505,Latest,3,136217.3456,136.2173456,Random,3,135849.4235,135.8494235
Earliest,4,136493.5812,136.4935812,Latest,4,136654.8436,136.6548436,Random,4,136493.5812,136.4935812
Earliest,5,144629.082,144.629082,Latest,5,143096.7929,143.0967929,Random,5,142874.0862,142.8740862
Earliest,6,190393.9613,190.3939613,Latest,6,176122.1992,176.1221992,Random,6,177226.4511,177.2264511
Earliest,7,269320.3233,269.3203233,Latest,7,246627.3648,246.6273648,Random,7,249000.2028,249.0002028
Earliest,8,406016.655,406.016655,Latest,8,375625.0835,375.6250835,Random,8,387940.6545,387.9406545
Earliest,9,366754.2474,366.7542474,Latest,9,334812.5848,334.8125848,Random,9,344078.0777,344.0780777
Earliest,10,205343.6504,205.3436504,Latest,10,198224.2898,198.2242898,Random,10,216805.6755,216.8056755
Earliest,11,164134.2757,164.1342757,Latest,11,161010.7201,161.0107201,Random,11,171522.4197,171.5224197
Earliest,12,158965.8949,158.9658949,Latest,12,161492.072,161.492072,Random,12,171130.2396,171.1302396
Earliest,13,163749.247,163.749247,Latest,13,173141.3244,173.1413244,Random,13,173032.9211,173.0329211
Earliest,14,199664.4152,199.6644152,Latest,14,210785.2874,210.7852874,Random,14,207997.0691,207.9970691
Earliest,15,237107.0132,237.1070132,Latest,15,252904.2504,252.9042504,Random,15,244225.4162,244.2254162
Earliest,16,290600.6251,290.6006251,Latest,16,314238.0429,314.2380429,Random,16,297269.4299,297.2694299
Earliest,17,279587.7751,279.5877751,Latest,17,291994.7899,291.9947899,Random,17,286049.9668,286.0499668
Earliest,18,227450.8401,227.4508401,Latest,18,240069.7241,240.0697241,Random,18,229225.3349,229.2253349
Earliest,19,192723.165,192.723165,Latest,19,199092.452,199.092452,Random,19,194520.096,194.520096
Earliest,20,167995.3516,167.9953516,Latest,20,173736.121,173.736121,Random,20,168634.4458,168.6344458
Earliest,21,157608.9782,157.6089782,Latest,21,159411.821,159.411821,Random,21,158501.4391,158.5014391
Earliest,22,152069.0255,152.0690255,Latest,22,154979.4269,154.9794269,Random,22,152130.0971,152.1300971
Earliest,23,149951.2956,149.9512956,Latest,23,151964.7898,151.9647898,Random,23,149856.1282,149.8561282
,,,4816.571136,0,276,4816571.136,4816.571136,0,276,4816571.136,4816.571136
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Charge_Hour,Summer baseload*,Summer maxload*,Earliest,Latest,Distributed,,,,,,
0,1533,2735,1675.87726,1676.507345,1675.243406,,,,,,
1,1469,2732,1608.222469,1608.885435,1608.918002,,,,,,
2,1425,2729,1564.418554,1565.97703,1565.046572,,,,,,
3,1401,2727,1535.493451,1537.217346,1536.849424,,,,,,
4,1408,2727,1544.493581,1544.654844,1544.493581,,,,,,
5,1470,2732,1614.629082,1613.096793,1612.874086,,,,,,
6,1572,2740,1762.393961,1748.122199,1749.226451,,,,,,
7,1702,2749,1971.320323,1948.627365,1951.000203,,,,,,
8,1820,2753,2226.016655,2195.625083,2207.940655,,,,,,
9,1924,2754,2290.754247,2258.812585,2268.078078,,,,,,
10,1999,2752,2204.34365,2197.22429,2215.805676,,,,,,
11,2048,2751,2212.134276,2209.01072,2219.52242,,,,,,
12,2091,2749,2249.965895,2252.492072,2262.13024,,,,,,
13,2110,2748,2273.749247,2283.141324,2283.032921,,,,,,
14,2116,2746,2315.664415,2326.785287,2323.997069,,,,,,
15,2144,2743,2381.107013,2396.90425,2388.225416,,,,,,
16,2163,2741,2453.600625,2477.238043,2460.26943,,,,,,
17,2150,2743,2429.587775,2441.99479,2436.049967,,,,,,
18,2115,2748,2342.45084,2355.069724,2344.225335,,,,,,
19,2079,2750,2271.723165,2278.092452,2273.520096,,,,,,
20,2058,2751,2225.995352,2231.736121,2226.634446,,,,,,
21,2005,2753,2162.608978,2164.411821,2163.501439,,,,,,
22,1901,2754,2053.069025,2055.979427,2053.130097,,,,,,
23,1799,2752,1948.951296,1950.96479,1948.856128,,,,,,
