,INC_TAG,EDUC_TAG,WFH_TAG,PROB WFH | INC * EDUC
1,0) 0-25K,0,1,0.12464990073710304
3,0) 0-25K,1,1,0.42943538486182303
5,1) 25-35K,0,1,0.13729040138680076
7,1) 25-35K,1,1,0.36203982828860354
9,2) 35-50K,0,1,0.18465478657126258
11,2) 35-50K,1,1,0.486698013434705
13,3) 50-75K,0,1,0.28227819292104783
15,3) 50-75K,1,1,0.5321366599423293
17,4) 75-100K,0,1,0.37445730591969606
19,4) 75-100K,1,1,0.5950872984298338
21,5) 100-150K,0,1,0.48137444038115323
23,5) 100-150K,1,1,0.7013776349420848
25,6) 150-200K,0,1,0.5986898036171912
27,6) 150-200K,1,1,0.7398986154878919
29,7) 200K+,0,1,0.622112440675807
31,7) 200K+,1,1,0.77135106338712
