OBJECTID,ID,NAME,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,lat,lon,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,LINES,MAX_VOLT,MIN_VOLT,MAX_INFER,MIN_INFER
13273,123432,UNKNOWN123432,PHILADELPHIA,PA,19148,SUBSTATION,IN SERVICE,PHILADELPHIA,42101,USA,39.90750849,-75.16564401,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,5/5/15 0:00,IMAGERY,6/16/15 0:00,2,69,69,N,N
13274,123433,UNKNOWN123433,CHELTENHAM TWP,PA,19027,SUBSTATION,IN SERVICE,MONTGOMERY,42091,USA,40.07762826,-75.12719579,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,5/5/15 0:00,IMAGERY,6/16/15 0:00,-999999,-999999,-999999,N,N
13275,123434,UNKNOWN123434,HATBORO,PA,19040,SUBSTATION,IN SERVICE,MONTGOMERY,42091,USA,40.17503947,-75.10314078,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,5/5/15 0:00,IMAGERY,6/16/15 0:00,-999999,-999999,-999999,N,N
13276,123435,UNKNOWN123435,WARMINSTER,PA,18974,SUBSTATION,IN SERVICE,BUCKS,42017,USA,40.22046915,-75.03012703,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,5/5/15 0:00,IMAGERY,6/16/15 0:00,-999999,-999999,-999999,N,N
13277,123436,UNKNOWN123436,EWING TWP,PA,8628,SUBSTATION,IN SERVICE,BUCKS,42017,USA,40.24783987,-74.84369076,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,5/5/15 0:00,IMAGERY,6/16/15 0:00,-999999,-999999,-999999,N,N
13278,123437,UNKNOWN123437,MORRISVILLE,PA,19067,SUBSTATION,IN SERVICE,BUCKS,42017,USA,40.18299892,-74.7617634,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,5/5/15 0:00,IMAGERY,6/9/15 0:00,4,230,-999999,Y,N
13279,123438,UNKNOWN123438,MORRISVILLE,PA,19067,SUBSTATION,IN SERVICE,BUCKS,42017,USA,40.18093637,-74.76087437,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,5/5/15 0:00,IMAGERY,6/9/15 0:00,4,-999999,-999999,N,N
13280,123439,UNKNOWN123439,FALLS TWP,PA,19067,SUBSTATION,IN SERVICE,BUCKS,42017,USA,40.15265553,-74.74573666,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,5/5/15 0:00,IMAGERY,6/11/15 0:00,4,-999999,-999999,N,N
13281,123440,UNKNOWN123440,FALLS TWP,PA,19067,SUBSTATION,IN SERVICE,BUCKS,42017,USA,40.1518717,-74.73757133,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,5/5/15 0:00,IMAGERY,6/11/15 0:00,2,-999999,-999999,N,N
13425,123616,UNKNOWN123616,STROUD TWP,PA,18360,SUBSTATION,IN SERVICE,MONROE,42089,USA,40.98031645,-75.17148315,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,5/5/15 0:00,IMAGERY,6/16/15 0:00,4,230,69,Y,Y
13426,123617,UNKNOWN123617,DELAWARE WATER GAP,PA,18327,SUBSTATION,IN SERVICE,MONROE,42089,USA,40.98193347,-75.17020988,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,5/5/15 0:00,IMAGERY,6/16/15 0:00,2,230,230,Y,Y
13452,123650,UNKNOWN123650,LOWER MT BETHEL TWP,PA,18013,SUBSTATION,IN SERVICE,NORTHAMPTON,42095,USA,40.80091442,-75.12848591,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,5/5/15 0:00,IMAGERY,6/16/15 0:00,2,69,69,Y,Y
13453,123651,UNKNOWN123651,BANGOR,PA,18013,SUBSTATION,IN SERVICE,NORTHAMPTON,42095,USA,40.79811724,-75.11009479,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,5/5/15 0:00,IMAGERY,6/16/15 0:00,5,230,69,Y,Y
13454,123653,UNKNOWN123653,UPPER MT BETHEL TWP,PA,18343,SUBSTATION,IN SERVICE,NORTHAMPTON,42095,USA,40.91242019,-75.08345903,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,5/5/15 0:00,IMAGERY,6/16/15 0:00,1,230,230,Y,Y
13844,124118,UNKNOWN124118,THOMPSON TOWN OF,NY,12701,SUBSTATION,IN SERVICE,SULLIVAN,36105,USA,41.67081329,-74.67376953,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,5/8/15 0:00,IMAGERY,5/8/15 0:00,-999999,-999999,-999999,N,N
13852,124132,DANSKAMMER GENERATING STATION,NEWBURGH,NY,12550,SUBSTATION,IN SERVICE,ORANGE,36071,USA,41.5732552,-73.96537105,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",5/8/15 0:00,IMAGERY,6/1/21 0:00,4,115,115,Y,Y
13863,124147,E F BARRETT,HEMPSTEAD TOWN OF,NY,11572,SUBSTATION,IN SERVICE,NASSAU,36059,USA,40.61810086,-73.64797507,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",5/8/15 0:00,IMAGERY,6/1/21 0:00,5,138,-999999,Y,N
13864,124150,GLENWOOD LANDING,NORTH HEMPSTEAD TOWN OF,NY,11547,SUBSTATION,IN SERVICE,NASSAU,36059,USA,40.82811848,-73.64669279,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,5/8/15 0:00,IMAGERY,4/3/18 0:00,9,69,-999999,Y,N
13866,124152,NORTHPORT,HUNTINGTON TOWN OF,NY,11768,SUBSTATION,IN SERVICE,SUFFOLK,36103,USA,40.9233096,-73.34114111,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, http://www.lipower.org/pdfs/company/papers/board/012114-operations.pdf",5/8/15 0:00,IMAGERY,4/3/18 0:00,6,138,-999999,Y,N
13883,124169,ASTORIA ENERGY II,NEW YORK,NY,11105,SUBSTATION,IN SERVICE,QUEENS,36081,USA,40.78178568,-73.89809361,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",5/12/15 0:00,IMAGERY,6/1/21 0:00,8,345,138,Y,Y
13916,124206,LONG ISLAND SOLAR FARM LLC,MANORVILLE,NY,11949,SUBSTATION,IN SERVICE,SUFFOLK,36103,USA,40.86007729,-72.85221986,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",5/15/15 0:00,IMAGERY,6/1/21 0:00,1,138,138,Y,Y
13917,124208,RICHARD M FLYNN,HOLTSVILLE,NY,11742,SUBSTATION,IN SERVICE,SUFFOLK,36103,USA,40.81617325,-73.06415449,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",5/15/15 0:00,IMAGERY,6/1/21 0:00,2,138,138,Y,Y
13918,124209,JOSEPH J SEYMOUR POWER PROJECT,BROOKLYN,NY,11232,SUBSTATION,IN SERVICE,KINGS,36047,USA,40.66275654,-73.99955078,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",5/15/15 0:00,IMAGERY,6/1/21 0:00,-999999,-999999,-999999,N,N
13953,124246,UNKNOWN124246,MONTGOMERY TOWN OF,NY,12549,SUBSTATION,IN SERVICE,ORANGE,36071,USA,41.48644357,-74.22575792,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,5/19/15 0:00,IMAGERY,5/19/15 0:00,-999999,-999999,-999999,N,N
14029,124326,BOWLINE POINT,WEST HAVERSTRAW,NY,10993,SUBSTATION,IN SERVICE,ROCKLAND,36087,USA,41.20530751,-73.96872174,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",5/11/15 0:00,IMAGERY,6/1/21 0:00,3,345,345,Y,Y
14030,124327,LOVETT,STONY POINT TOWN OF,NY,10986,SUBSTATION,IN SERVICE,ROCKLAND,36087,USA,41.25681068,-73.98073014,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",5/11/15 0:00,IMAGERY,6/1/21 0:00,2,-999999,-999999,N,N
