,PUMAKEY_HOME,Subregion
0,09_00102,CT
1,09_00101,CT
2,09_00100,CT
3,09_00103,CT
4,09_00105,CT
5,09_00104,CT
6,09_00300,CT
7,09_00303,CT
8,09_00304,CT
9,09_00305,CT
10,09_00700,CT
11,09_00500,CT
12,09_01300,CT
13,09_01500,CT
14,09_01100,CT
15,09_01101,CT
16,09_00903,CT
17,09_00902,CT
18,09_00302,CT
19,09_00301,CT
20,09_00306,CT
21,09_00901,CT
22,09_00900,CT
23,09_00904,CT
24,09_00905,CT
25,09_00906,CT
26,34_01205,Outer NJ
27,34_01202,Outer NJ
28,34_01204,Outer NJ
29,34_01203,Outer NJ
30,36_03802,Manhattan
31,34_01103,Outer NJ
32,34_01102,Outer NJ
33,34_01106,Outer NJ
34,34_00503,Inner NJ
35,34_01503,Inner NJ
36,34_00502,Inner NJ
37,34_00303,Inner NJ
38,34_00305,Inner NJ
39,34_00308,Inner NJ
40,34_00306,Inner NJ
41,36_02701,Mid Hud
42,36_02702,Mid Hud
43,36_03810,Manhattan
44,36_03212,LI
45,36_03209,LI
46,36_03206,LI
47,34_01301,Inner NJ
48,34_01302,Inner NJ
49,34_01402,Inner NJ
50,34_01403,Inner NJ
51,34_01003,Inner NJ
52,34_00800,Outer NJ
53,34_01700,Outer NJ
54,34_01401,Inner NJ
55,34_01404,Inner NJ
56,34_00701,Inner NJ
57,34_00702,Inner NJ
58,34_00601,Inner NJ
59,34_00602,Inner NJ
60,34_00703,Inner NJ
61,34_01105,Outer NJ
62,34_01101,Outer NJ
63,34_01104,Outer NJ
64,34_00400,Inner NJ
65,34_01600,Outer NJ
66,34_01501,Inner NJ
67,34_01504,Inner NJ
68,34_00905,Inner NJ
69,34_00907,Inner NJ
70,34_00901,Inner NJ
71,34_00904,Inner NJ
72,34_00906,Inner NJ
73,34_00902,Inner NJ
74,34_00903,Inner NJ
75,34_01201,Outer NJ
76,34_00501,Inner NJ
77,34_01002,Inner NJ
78,34_01001,Inner NJ
79,34_01502,Inner NJ
80,34_01800,Inner NJ
81,34_01904,Inner NJ
82,34_01901,Inner NJ
83,34_01903,Inner NJ
84,34_01902,Inner NJ
85,34_02303,Outer NJ
86,34_02301,Outer NJ
87,34_02302,Outer NJ
88,34_00304,Inner NJ
89,34_00302,Inner NJ
90,34_00307,Inner NJ
91,34_00301,Inner NJ
92,36_03807,Manhattan
93,36_03806,Manhattan
94,36_03203,LI
95,36_03204,LI
96,36_03801,Manhattan
97,36_03803,Manhattan
98,36_03809,Manhattan
99,36_03805,Manhattan
100,36_03804,Manhattan
101,36_03808,Manhattan
102,36_03901,Non-MNY Boroughs
103,36_03902,Non-MNY Boroughs
104,36_03903,Non-MNY Boroughs
105,36_04006,Non-MNY Boroughs
106,36_03202,LI
107,36_03208,LI
108,36_03201,LI
109,36_03210,LI
110,36_03207,LI
111,36_03211,LI
112,36_03303,LI
113,36_03304,LI
114,36_03306,LI
115,36_03311,LI
116,36_03312,LI
117,36_03302,LI
118,36_03307,LI
119,36_03205,LI
120,36_02801,Mid Hud
121,36_02802,Mid Hud
122,36_03309,LI
123,36_03313,LI
124,36_03706,Non-MNY Boroughs
125,36_03702,Non-MNY Boroughs
126,36_03705,Non-MNY Boroughs
127,36_03308,LI
128,36_03310,LI
129,36_03002,Low Hud
130,36_03003,Low Hud
131,36_03001,Low Hud
132,36_03103,Low Hud
133,36_03104,Low Hud
134,36_03106,Low Hud
135,36_03105,Low Hud
136,36_03102,Low Hud
137,36_03107,Low Hud
138,36_03708,Non-MNY Boroughs
139,36_03704,Non-MNY Boroughs
140,36_03710,Non-MNY Boroughs
141,36_03709,Non-MNY Boroughs
142,36_03701,Non-MNY Boroughs
143,36_03703,Non-MNY Boroughs
144,36_03707,Non-MNY Boroughs
145,36_04013,Non-MNY Boroughs
146,36_04012,Non-MNY Boroughs
147,36_04005,Non-MNY Boroughs
148,36_04018,Non-MNY Boroughs
149,36_04004,Non-MNY Boroughs
150,36_04009,Non-MNY Boroughs
151,36_04016,Non-MNY Boroughs
152,36_04017,Non-MNY Boroughs
153,36_04008,Non-MNY Boroughs
154,36_04014,Non-MNY Boroughs
155,36_04015,Non-MNY Boroughs
156,36_04011,Non-MNY Boroughs
157,36_04001,Non-MNY Boroughs
158,36_04007,Non-MNY Boroughs
159,36_04003,Non-MNY Boroughs
160,36_04102,Non-MNY Boroughs
161,36_04010,Non-MNY Boroughs
162,36_04002,Non-MNY Boroughs
163,36_02903,Mid Hud
164,36_02902,Mid Hud
165,36_02901,Mid Hud
166,36_03101,Low Hud
167,36_03305,LI
168,36_03301,LI
169,36_04110,Non-MNY Boroughs
170,36_04108,Non-MNY Boroughs
171,36_04109,Non-MNY Boroughs
172,36_04107,Non-MNY Boroughs
173,36_04101,Non-MNY Boroughs
174,36_04111,Non-MNY Boroughs
175,36_04106,Non-MNY Boroughs
176,36_04112,Non-MNY Boroughs
177,36_04113,Non-MNY Boroughs
178,36_04105,Non-MNY Boroughs
179,36_04104,Non-MNY Boroughs
180,36_04103,Non-MNY Boroughs
181,36_04114,Non-MNY Boroughs
